ss1,ss2,ss3
3.177984734716921e-5,2.078369549694457e-5,2.4637076834577178e-5
5.334515836038767e-6,3.07986453894649e-5,1.7930995765855405e-5
1.5318676850012996e-5,3.1944506479488955e-5,2.347148914454715e-5
5.730293043704528e-6,3.175344626665446e-5,2.14157697766133e-5
4.337332338283683e-5,1.87016292806794e-5,5.377373711420068e-5
2.823523135645748e-5,1.963624127063641e-5,1.187226151963468e-6
3.304285220042454e-5,4.878700858816537e-5,3.2290179846538297e-6
1.7565376855261128e-6,4.823764095309853e-6,3.2665583533375476e-5
9.179294765650219e-6,7.899672527667469e-6,1.961675740550172e-5
6.462956395537348e-6,6.019074261318379e-6,3.5911447443233153e-6
1.1774174233248964e-5,2.5067396674672014e-6,3.4140837727195456e-5
9.91539793057579e-7,3.506287714336912e-5,2.6933484737079595e-5
1.4224936864757274e-5,5.258786739902045e-6,2.659784129734829e-5
2.284329960626588e-5,6.559064448833901e-6,1.886947662259637e-5
1.763792495673616e-6,2.4336358075098576e-5,1.0313880495801298e-5
1.3403201763311447e-5,2.723333382194123e-6,2.6932765689476706e-5
2.005687493850786e-5,7.245047210229142e-5,9.698793284329831e-6
5.739013328612253e-6,3.2501399638797335e-5,4.183631009728085e-6
2.8293457575989772e-5,3.36243865319239e-5,0.00011511958772002694
3.147678058437315e-5,4.530529225857086e-8,2.950308824996814e-5
4.206298920585545e-5,2.8399967601489482e-6,4.873748221256801e-6
2.4994698133361584e-5,1.1693019973741004e-5,3.89282644360017e-6
4.27113724690807e-5,2.0196978020457546e-5,1.526736520103762e-5
1.6021658596702566e-5,5.826908885866653e-5,3.604761631315799e-6
1.66831408265093e-5,2.1056108210838462e-5,4.4442793173649684e-5
3.267085697355312e-6,2.490338500667513e-5,4.252519281663433e-6
1.7008912155605724e-5,2.4514348430764685e-5,1.436642424202735e-5
3.8937727314444446e-5,2.5781793073456908e-5,3.059095710347903e-6
8.477139981925257e-6,1.4833375067413688e-5,1.316710783051419e-5
1.3635907638760563e-6,8.775799482265512e-6,3.7705337913407975e-5
3.381020501300611e-5,3.7002191382046723e-6,4.168548209937659e-5
2.2149321930927914e-5,3.8734209900143645e-5,1.7870427023419822e-5
2.0642851360046524e-5,1.4464001142653408e-5,1.620610209729891e-5
2.4047594439935845e-5,9.895002076567106e-7,2.507229501917202e-5
2.5083704091462993e-5,5.013095984567024e-6,2.669048339289192e-6
5.01709358015281e-6,3.4480032817184004e-5,1.4355379878923288e-5
9.40692701630891e-6,1.2446290202171961e-6,4.4415928268090704e-5
8.544174913251741e-6,1.5611875789307463e-5,4.221928098745748e-5
1.2090169643575755e-5,2.587128733351488e-5,1.6298142283324144e-7
2.4594891046056694e-6,7.5977240300024185e-6,2.3775382392829026e-5
1.7253519630474062e-5,2.5865015696886206e-6,1.919080896511867e-6
1.6764201844582942e-5,6.461167926366079e-6,1.7154181412775656e-5
